id,name,gcluster,bcluster
394,E 9 St & Avenue C,11,4
395,Bond St & Schermerhorn St,1,1
396,Lefferts Pl & Franklin Ave,3,0
397,Fulton St & Clermont Ave,2,0
398,Atlantic Ave & Furman St,0,7
399,Lafayette Ave & St James Pl,2,0
400,Pitt St & Stanton St,11,21
401,Allen St & Rivington St,10,3
402,Broadway & E 22 St,16,2
403,E 2 St & 2 Ave,10,3
404,9 Ave & W 14 St,14,19
405,Washington St & Gansevoort St,14,19
406,Hicks St & Montague St,0,7
407,Henry St & Poplar St,5,7
408,Market St & Cherry St,5,22
409,DeKalb Ave & Skillman St,3,0
410,Suffolk St & Stanton St,11,4
411,E 6 St & Avenue D,11,4
412,Forsyth St & Canal St,10,22
414,Pearl St & Anchorage Pl,6,7
415,Pearl St & Hanover Square,4,11
416,Cumberland St & Lafayette Ave,2,1
417,Barclay St & Church St,9,10
418,Front St & Gold St,6,8
419,Carlton Ave & Park Ave,7,1
420,Clermont Ave & Lafayette Ave,2,0
421,Clermont Ave & Park Ave,7,1
422,W 59 St & 10 Ave,23,12
423,W 54 St & 9 Ave,23,12
426,West St & Chambers St,9,10
427,Bus Slip & State St,4,11
428,E 3 St & 1 Ave,11,4
430,York St & Jay St,6,7
431,Hanover Pl & Livingston St,1,1
432,E 7 St & Avenue A,11,4
433,E 13 St & Avenue A,16,4
434,9 Ave & W 18 St,18,18
435,W 21 St & 6 Ave,15,18
436,Hancock St & Bedford Ave,3,17
437,Macon St & Nostrand Ave,3,17
438,St Marks Pl & 1 Ave,16,4
439,E 4 St & 2 Ave,11,3
440,E 45 St & 3 Ave,21,13
441,E 52 St & 2 Ave,21,16
442,W 27 St & 7 Ave,19,18
443,Bedford Ave & S 9th St,7,17
444,Broadway & W 24 St,20,2
445,E 10 St & Avenue A,16,4
446,W 24 St & 7 Ave,19,18
447,8 Ave & W 52 St,23,12
448,W 37 St & 10 Ave,19,20
449,W 52 St & 9 Ave,23,12
450,W 49 St & 8 Ave,23,12
453,W 22 St & 8 Ave,19,18
454,E 51 St & 1 Ave,21,16
455,1 Ave & E 44 St,21,16
456,E 53 St & Madison Ave,24,16
457,Broadway & W 58 St,23,12
458,11 Ave & W 27 St,18,18
459,W 20 St & 11 Ave,18,18
460,S 4 St & Wythe Ave,12,17
461,E 20 St & 2 Ave,16,5
462,W 22 St & 10 Ave,18,18
463,9 Ave & W 16 St,18,19
464,E 56 St & 3 Ave,24,16
465,Broadway & W 41 St,20,14
466,W 25 St & 6 Ave,19,18
467,Dean St & 4 Ave,1,8
468,Broadway & W 55 St,23,12
469,Broadway & W 53 St,23,12
470,W 20 St & 8 Ave,19,18
471,Grand St & Havemeyer St,13,17
472,E 32 St & Park Ave,20,15
473,Rivington St & Chrystie St,10,3
474,5 Ave & E 29 St,20,15
475,E 16 St & Irving Pl,16,2
476,E 31 St & 3 Ave,20,15
477,W 41 St & 8 Ave,19,14
478,11 Ave & W 41 St,22,20
479,9 Ave & W 45 St,22,20
480,W 53 St & 10 Ave,22,12
481,S 3 St & Bedford Ave,13,17
482,W 15 St & 7 Ave,15,18
483,E 12 St & 3 Ave,16,2
484,W 44 St & 5 Ave,20,13
485,W 37 St & 5 Ave,20,13
486,Broadway & W 29 St,20,2
487,E 20 St & FDR Drive,17,5
488,W 39 St & 9 Ave,19,20
489,10 Ave & W 28 St,19,18
490,8 Ave & W 33 St,19,14
491,E 24 St & Park Ave S,16,15
492,W 33 St & 7 Ave,19,14
493,W 45 St & 6 Ave,20,13
494,W 26 St & 8 Ave,19,18
495,W 47 St & 10 Ave,22,12
496,E 16 St & 5 Ave,15,2
497,E 17 St & Broadway,15,2
498,Broadway & W 32 St,20,14
499,Broadway & W 60 St,23,12
500,Broadway & W 51 St,23,12
501,FDR Drive & E 35 St,21,15
502,Henry St & Grand St,11,21
503,E 20 St & Park Ave,16,2
504,1 Ave & E 15 St,16,5
505,6 Ave & W 33 St,20,14
507,E 25 St & 2 Ave,16,5
508,W 46 St & 11 Ave,22,20
509,9 Ave & W 22 St,19,18
510,W 51 St & 6 Ave,23,12
511,E 14 St & Avenue B,16,4
512,W 29 St & 9 Ave,19,18
513,W 56 St & 10 Ave,23,12
514,12 Ave & W 40 St,22,20
515,W 43 St & 10 Ave,22,14
516,E 47 St & 1 Ave,21,16
517,E 41 St & Madison Ave,20,13
518,E 39 St & 2 Ave,21,13
519,E 42 St & Vanderbilt Ave,20,13
520,W 52 St & 5 Ave,23,13
521,8 Ave & W 31 St,19,18
522,E 51 St & Lexington Ave,21,16
523,W 38 St & 8 Ave,19,14
